label,volume,coll_area,flow_rate,design_case,r_level
175,0.1,16,200,cp_PV,r0
176,0.3,8,200,cp_PV,r0
177,0.4,16,200,cp_PV,r0
178,0.4,4,200,cp_PV,r0
179,0.2,4,200,cp_PV,r0
180,0.4,8,200,cp_PV,r0
0,0.3,20,200,ST,r0
1,0.3,20,100,ST,r0
2,0.3,4,100,ST,r0
3,0.2,20,200,ST,r0
4,0.2,20,100,ST,r0
5,0.1,4,100,ST,r0
6,0.3,8,100,ST,r0
7,0.1,20,100,ST,r0
8,0.1,8,100,ST,r0
9,0.1,20,200,ST,r0
10,0.4,8,200,ST,r0
11,0.2,8,200,ST,r0
12,0.1,16,200,ST,r0
13,0.1,4,200,ST,r0
14,0.3,8,200,ST,r0
181,0.2,4,100,PVT,r1
182,0.2,20,200,cp_PV,r1
183,0.2,20,200,cp_PV,r0
184,0.25,20,200,cp_PV,r0
185,0.25,4,200,cp_PV,r0
186,0.25,0.001,200,cp_PV,r0
187,0.25,16,200,cp_PV,r0
188,0.25,16,200,cp_PV,r1
189,0.2,16,200,cp_PV,r1
190,0.2,4,200,cp_PV,r1
191,0.15,20,200,cp_PV,r1
192,0.2,0.001,200,cp_PV,r1
193,0.15,4,200,cp_PV,r1
194,0.15,16,200,cp_PV,r0
195,0.2,16,200,cp_PV,r0
196,0.25,4,200,cp_PV,r1
197,0.25,20,200,cp_PV,r1
198,0.15,4,200,cp_PV,r0
199,0.15,0.001,200,cp_PV,r0
200,0.15,0.001,200,cp_PV,r1
201,0.15,20,200,cp_PV,r0
202,0.15,20,200,PVT_Batt_9,r1
203,0.15,20,100,PVT_Batt_9,r1
204,0.2,20,100,PVT_Batt_9,r1
205,0.2,8,100,PVT_Batt_9,r1
206,0.2,8,100,PVT_Batt_9,r0
207,0.2,8,100,PVT_Batt_6,r0
208,0.25,16,50,PVT_Batt_6,r0
209,0.25,16,50,PVT_Batt_9,r0
210,0.2,16,50,PVT_Batt_9,r0
211,0.2,4,50,PVT_Batt_9,r0
212,0.2,4,50,PVT_Batt_9,r1
213,0.2,4,100,PVT_Batt_9,r1
214,0.2,16,50,PVT_Batt_6,r0
215,0.2,4,50,PVT_Batt_6,r0
216,0.2,4,50,PVT_Batt_6,r1
217,0.15,4,50,PVT_Batt_9,r1
218,0.15,4,100,PVT_Batt_9,r1
219,0.2,8,200,PVT_Batt_9,r1
220,0.2,8,200,PVT_Batt_6,r1
221,0.2,8,200,PVT_Batt_6,r0
222,0.2,20,200,PVT_Batt_6,r0
223,0.2,20,100,PVT_Batt_6,r0
224,0.25,20,100,PVT_Batt_6,r0
225,0.15,20,200,PVT_Batt_6,r0
226,0.2,20,200,PVT_Batt_6,r1
227,0.2,20,200,PVT_Batt_9,r1
228,0.15,16,100,PVT_Batt_9,r1
229,0.15,4,50,PVT_Batt_9,r0
230,0.15,4,50,PVT_Batt_9,r0
231,0.25,8,200,PVT_Batt_9,r1
232,0.25,8,200,PVT_Batt_9,r0
233,0.25,8,200,PVT_Batt_9,r0
234,0.25,8,100,PVT_Batt_9,r0
235,0.25,20,100,PVT_Batt_9,r0
236,0.25,4,50,PVT_Batt_6,r0
237,0.25,4,50,PVT_Batt_9,r0
238,0.2,16,50,PVT_Batt_9,r1
239,0.2,16,100,PVT_Batt_9,r1
240,0.2,8,50,PVT_Batt_9,r0
241,0.2,8,50,PVT_Batt_9,r0
242,0.2,8,50,PVT_Batt_9,r1
243,0.25,8,200,PVT_Batt_6,r0
244,0.2,8,200,PVT_Batt_9,r0
245,0.2,16,200,PVT_Batt_6,r1
246,0.25,16,200,PVT_Batt_6,r1
247,0.25,16,100,PVT_Batt_6,r1
248,0.25,16,100,PVT_Batt_9,r0
249,0.25,16,100,PVT_Batt_9,r0
250,0.25,4,100,PVT_Batt_9,r0
251,0.2,8,50,PVT_Batt_6,r1
252,0.2,20,50,PVT_Batt_6,r1
253,0.25,20,50,PVT_Batt_6,r1
254,0.25,20,50,PVT_Batt_6,r0
255,0.2,4,200,PVT_Batt_6,r1
256,0.2,16,200,PVT_Batt_9,r1
257,0.25,16,200,PVT_Batt_9,r1
258,0.25,16,200,PVT_Batt_9,r0
259,0.25,20,200,PVT_Batt_9,r0
260,0.25,20,200,PVT_Batt_6,r0
261,0.15,8,100,PVT_Batt_9,r1
262,0.2,8,100,PVT_Batt_6,r1
263,0.2,8,100,PVT_Batt_6,r1
